name,team,salary
Aleksandar Kolarov,Manchester City,5.5
Alessandro Nesta,AC Milan,4.5
Alvaro Arbeloa,Real Madrid,1.8
Andre-Pierre Gignac,Olympique Marseille,3.8
Andrea Pirlo,AC Milan,6.0
Andrei Arshavin,Arsenal,4.8
Andres Iniesta,Barcelona,7.0
Arjen Robben,Bayern Munich,5.5
Ashley Cole,Chelsea,6.5
Bastian Schweinsteiger,Bayern Munich,5.5
Carles Puyol,Barcelona,5.0
Carlos Tevez,Manchester City,8.0
Cesc Fabregas,Arsenal,6.0
Clarence Seedorf,AC Milan,4.0
Cris,Olympique Lyon,4.2
Cristiano Ronaldo,Real Madrid,12.0
Daniel Alves,Barcelona,7.0
David Silva,Manchester City,4.3
Deco,Fluminense,4.0
Demy de Zeeuw,Ajax,1.7
Didier Drogba,Chelsea,6.2
Diego,Wolfsburg,4.0
Diego Forlan,Internazionale,4.5
Diego Milito,Internazionale,4.5
Dimitar Berbatov,Manchester United,4.8
Dirk Kuyt,Liverpool,3.0
Eden Hazard,Lille,3.6
Edin Dzeko,Manchester City,6.5
Emmanuel Adebayor,Manchester City,8.5
Esteban Cambiasso,Internazionale,4.0
Fernando Torres,Chelsea,10.0
Florent Malouda,Chelsea,4.3
Francesco Totti,AS Roma,5.5
Franck Ribery,Bayern Munich,8.0
Frank Lampard,Chelsea,7.5
Frederic Kanoute,Sevilla,6.0
Gabriel Heinze,Olympique Marseille,4.5
Gareth Barry,Manchester City,5.5
Gerard Pique,Barcelona,5.0
Gianluigi Buffon,Juventus,6.0
Glen Johnson,Liverpool,6.5
Gonzalo Higuain,Real Madrid,4.0
Gregory van der Wiel,Ajax,1.5
Iker Casillas,Real Madrid,6.0
Jan Vertonghen,Ajax,0.8
Javier Mascherano,Barcelona,4.0
John Heitinga,Everton,4.5
Joleon Lescott,Manchester City,5.0
Julio Cesar,Internazionale,4.5
Kaka,Real Madrid,9.0
Karim Benzema,Real Madrid,5.0
Khalid Boulahrouz,Stuttgart,3.7
Klaas-Jan Huntelaar,Schalke 04,4.5
Lassana Diarra,Real Madrid,2.0
Lionel Messi,Barcelona,10.5
Lisondro Lopez,Olympique Lyon,4.1
Maicon,Internazionale,3.8
Mario Balotelli,Manchester City,6.5
Mesut Ozil,Real Madrid,3.0
Michael Owen,Manchester United,3.4
Miroslav Klose,Bayern Munich,4.2
Nani,Manchester United,5.8
Nigel de Jong,Manchester City,8.1
Rafael van der Vaart,Tottenham Hotspur,4.0
Raul,Schalke 04,4.0
Ricardo Carvalho,Real Madrid,3.0
Rio Ferdinand,Manchester United,6.5
Robin van Persie,Arsenal,5.5
Robinho,AC Milan,4.0
Ronaldinho,Flamengo,5.0
Sami Khedira,Real Madrid,1.8
Samir Nasri,Arsenal,5.5
Samuel Eto'o,Internazionale,8.0
Sergio Aguero,Atletico Madrid,5.0
Sergio Ramos,Real Madrid,4.5
Steven Gerrard,Liverpool,7.5
Torsten Frings,Werder Bremen,4.0
Vincent Kompany,Manchester City,7.2
Wayne Rooney,Manchester United,9.5
Wesley Sneijder,Internazionale,4.0
Xabi Alonso,Real Madrid,4.5
Xavi,Barcelona,7.5
Yaya Toure,Manchester City,10.0
Yoann Gourcuff,Olympique Lyon,4.8
Zlatan Ibrahimovic,AC Milan,9.0
